Word,Year,Value
massif,2011,0
massif,2012,6.659259259259259
massif,2013,2.3177189409368637
massif,2014,2.0781563126252505
massif,2015,5.730769230769231
massif,2016,3.7028824833702885
massif,2017,3.7268862911795964
massif,2018,2.6472727272727274
forcée,2011,3.4545454545454546
forcée,2012,12.196296296296296
forcée,2013,4.305498981670061
forcée,2014,4.613226452905812
forcée,2015,3.655982905982906
forcée,2016,3.450110864745011
forcée,2017,4.3039319872476085
forcée,2018,3.0290909090909093
galerie,2011,3.090909090909091
galerie,2012,11.637037037037038
galerie,2013,4.2973523421588595
galerie,2014,3.781563126252505
galerie,2015,3.7243589743589745
galerie,2016,2.237250554323725
galerie,2017,2.820403825717322
galerie,2018,1.6181818181818182
conduite,2011,4.7272727272727275
conduite,2012,14.996296296296297
conduite,2013,6.558044806517311
conduite,2014,6.168336673346693
conduite,2015,5.75
conduite,2016,5.592017738359202
conduite,2017,5.8799149840595115
conduite,2018,5.534545454545454
ponts,2011,0
ponts,2012,0
ponts,2013,0
ponts,2014,1.0
ponts,2015,0
ponts,2016,0
ponts,2017,0
ponts,2018,0
