Word,Year,Value
tronçon,2011,0
tronçon,2012,5.948148148148148
tronçon,2013,0
tronçon,2014,1.5430861723446894
tronçon,2015,0
tronçon,2016,1.1773835920177385
tronçon,2017,0.7608926673751328
tronçon,2018,0.7454545454545455
piste,2011,0
piste,2012,4.844444444444444
piste,2013,2.709775967413442
piste,2014,2.1402805611222444
piste,2015,1.4978632478632479
piste,2016,0
piste,2017,0.7662061636556854
piste,2018,0
vanne,2011,0
vanne,2012,6.822222222222222
vanne,2013,1.6028513238289206
vanne,2014,0
vanne,2015,0
vanne,2016,0
vanne,2017,1.385759829968119
vanne,2018,1.3709090909090909
fret,2011,0
fret,2012,0
fret,2013,4.210794297352342
fret,2014,4.961923847695391
fret,2015,4.32051282051282
fret,2016,5.960088691796009
fret,2017,5.348565356004251
fret,2018,4.465454545454546
ancrage,2011,0
ancrage,2012,4.192592592592592
ancrage,2013,3.4562118126272914
ancrage,2014,3.258517034068136
ancrage,2015,2.4935897435897436
ancrage,2016,3.0199556541019956
ancrage,2017,2.1880977683315623
ancrage,2018,1.5018181818181817
revêtement,2011,8.909090909090908
revêtement,2012,5.933333333333334
revêtement,2013,0
revêtement,2014,0
revêtement,2015,0
revêtement,2016,0
revêtement,2017,0
revêtement,2018,0
accès,2011,5.0
accès,2012,10.074074074074074
accès,2013,5.724032586558045
accès,2014,3.7254509018036073
accès,2015,3.1666666666666665
accès,2016,3.190687361419069
accès,2017,3.2167906482465463
accès,2018,2.941818181818182
travaux,2011,10.681818181818182
travaux,2012,13.203703703703704
travaux,2013,7.620162932790224
travaux,2014,6.875751503006012
travaux,2015,5.316239316239316
travaux,2016,4.951219512195122
travaux,2017,4.140276301806589
travaux,2018,3.541818181818182
grenaillage,2011,8.0
grenaillage,2012,0
grenaillage,2013,0
grenaillage,2014,0
grenaillage,2015,0
grenaillage,2016,0
grenaillage,2017,0
grenaillage,2018,0
viroles,2011,0
viroles,2012,7.0962962962962965
viroles,2013,0
viroles,2014,0.9599198396793587
viroles,2015,0
viroles,2016,0.9490022172949002
viroles,2017,0
viroles,2018,0
raccordement,2011,0
raccordement,2012,6.003703703703704
raccordement,2013,0
raccordement,2014,0
raccordement,2015,0
raccordement,2016,0
raccordement,2017,1.3209351753453773
raccordement,2018,1.2945454545454544
