Word,Year,Value
chute,2011,0
chute,2012,7.111111111111111
chute,2013,1.8472505091649694
chute,2014,1.5190380761523046
chute,2015,1.5876068376068375
chute,2016,1.2727272727272727
chute,2017,1.6099893730074388
chute,2018,0.9272727272727272
véhicule,2011,0
véhicule,2012,1.9962962962962962
véhicule,2013,0
véhicule,2014,0
véhicule,2015,0
véhicule,2016,0
véhicule,2017,0
véhicule,2018,0
sismique,2011,0
sismique,2012,0
sismique,2013,0
sismique,2014,0
sismique,2015,1.1324786324786325
sismique,2016,0
sismique,2017,0
sismique,2018,0.8036363636363636
risque,2011,2.590909090909091
risque,2012,6.622222222222222
risque,2013,2.519348268839104
risque,2014,2.284569138276553
risque,2015,1.9038461538461537
risque,2016,1.507760532150776
risque,2017,2.0520722635494155
risque,2018,1.4763636363636363
prévention,2011,0
prévention,2012,2.762962962962963
prévention,2013,1.1130346232179227
prévention,2014,0
prévention,2015,1.5598290598290598
prévention,2016,1.5144124168514412
prévention,2017,1.2656748140276302
prévention,2018,0.6581818181818182
sécurité,2011,7.181818181818182
sécurité,2012,9.948148148148148
sécurité,2013,4.892057026476579
sécurité,2014,4.304609218436874
sécurité,2015,4.318376068376068
sécurité,2016,4.603104212860311
sécurité,2017,2.9925611052072263
sécurité,2018,2.96
accident,2011,1.6363636363636365
accident,2012,2.1148148148148147
accident,2013,1.0437881873727088
accident,2014,1.0821643286573146
accident,2015,1.2905982905982907
accident,2016,0
accident,2017,1.0478214665249734
accident,2018,0.7236363636363636
éboulements,2011,0
éboulements,2012,0
éboulements,2013,1.5763747454175152
éboulements,2014,0
éboulements,2015,0
éboulements,2016,0
éboulements,2017,0
éboulements,2018,0
